concept_id,canonical_label,domain,symbols_commonly_seen,notes
WAVEFUNCTION,wavefunction,quantum,"psi, Psi, phi","time-dependent vs time-independent often share the glyph"
HAMILTONIAN,Hamiltonian operator,quantum,"H-hat","collides with enthalpy across the 3141/3142 boundary"
KE_OPERATOR,kinetic energy operator,quantum,"T-hat, K-hat, E_kin-hat","collides with temperature"
PE_OPERATOR,potential energy operator,quantum,"V-hat, U-hat","collides with volume and internal energy"
ENERGY_EIGENVALUE,energy eigenvalue of a state,quantum,"E_n, epsilon_n","per-molecule vs per-mole is an F9 risk"
QUANTUM_NUM_PRINCIPAL,principal quantum number,quantum,"n","collides with moles and reaction order"
QUANTUM_NUM_ANGULAR,angular momentum quantum number,quantum,"l, ell","confusable with the numeral 1 and with path length"
QUANTUM_NUM_VIB,vibrational quantum number,quantum,"v, n","confusable with speed and with frequency nu"
EXPECTATION_VALUE,expectation value of an observable,quantum,"<A>, A-bar, integral form","F3 territory: integral vs bra-ket"
OVERLAP_INTEGRAL,overlap integral,quantum,"S","collides with entropy"
FORCE_CONSTANT,harmonic force constant,quantum,"k, k_f","collides with rate constant and Boltzmann constant"
REDUCED_MASS,reduced mass,quantum,"mu","collides with chemical potential and dipole moment"
PLANCK_CONSTANT,Planck constant,constants,"h","hbar vs h/2pi is an F1/F3 pairing"
PLANCK_REDUCED,reduced Planck constant,constants,"hbar","often written out as h/2pi"
BOLTZMANN_CONSTANT,Boltzmann constant,constants,"k, k_B","collides with rate constant and force constant"
GAS_CONSTANT,molar gas constant,constants,"R","per-mole counterpart of the Boltzmann constant"
SPEED_OF_LIGHT,speed of light,constants,"c","also used for concentration in kinetics"
FREQUENCY,frequency,spectroscopy,"nu","confusable with speed and vibrational quantum number"
WAVENUMBER,wavenumber,spectroscopy,"nu-tilde, k","units convention is an F9 risk"
ANGULAR_FREQUENCY,angular frequency,spectroscopy,"omega","factor of 2pi placement varies"
POLARIZABILITY,polarizability,molecular properties,"alpha","collides with degree of dissociation and expansion coefficient"
DIPOLE_MOMENT,dipole moment,molecular properties,"mu","collides with chemical potential and reduced mass"
TEMPERATURE,thermodynamic temperature,thermo,"T","collides with the kinetic energy operator"
PRESSURE,pressure,thermo,"P, p","confusable with momentum and probability"
VOLUME,volume,thermo,"V","collides with potential energy"
MOLES,amount of substance,thermo,"n","collides with principal quantum number and reaction order"
INTERNAL_ENERGY,internal energy,thermo,"U, E","chemistry favors U, some physics texts E"
ENTHALPY,enthalpy,thermo,"H","collides with the Hamiltonian"
ENTROPY,entropy,thermo,"S","statistical vs thermodynamic definitions are an F3 pairing"
GIBBS_ENERGY,Gibbs energy,thermo,"G","standard-state decoration varies"
HELMHOLTZ_ENERGY,Helmholtz energy,thermo,"A, F","classic F1 split between chemistry and physics texts"
HEAT,heat,thermo,"q, Q","collides with both partition functions"
WORK,work,thermo,"w, W","sign convention is the canonical F4 case; collides with microstate count"
CHEMICAL_POTENTIAL,chemical potential,thermo,"mu","collides with reduced mass and dipole moment"
THERMAL_EXPANSION,coefficient of thermal expansion,thermo,"alpha","collides with polarizability"
COMPRESSIBILITY,isothermal compressibility,thermo,"kappa, beta","beta collides with 1/kT"
FUGACITY,fugacity,thermo,"f","distinct from activity"
ACTIVITY,activity,thermo,"a","standard-state dependent"
STANDARD_STATE,standard state indicator,thermo,"degree sign, plimsoll","1 bar vs 1 atm is an F4 case"
EQUILIBRIUM_CONSTANT,equilibrium constant,thermo,"K, K_p, K_c, K_a","basis of definition is often left implicit"
REACTION_QUOTIENT,reaction quotient,thermo,"Q","collides with heat and the canonical partition function"
PARTITION_FN_MOLECULAR,molecular partition function,statmech,"q, z","collides with heat"
PARTITION_FN_CANONICAL,canonical partition function,statmech,"Q, Z","collides with heat and reaction quotient"
DEGENERACY,degeneracy of an energy level,statmech,"g, omega, W","overlaps with microstate count"
MICROSTATE_COUNT,number of microstates,statmech,"W, Omega","collides with work"
BOLTZMANN_FACTOR,Boltzmann factor,statmech,"exp(-beta*epsilon), exp(-epsilon/kT)","F3 pairing on whether beta is used"
BETA_THERMAL,inverse thermal energy 1/kT,statmech,"beta","collides with compressibility"
MOLECULAR_ENERGY_LEVEL,energy of a molecular level,statmech,"epsilon, E","per-molecule vs per-mole distinction"
THERMAL_WAVELENGTH,thermal de Broglie wavelength,statmech,"Lambda","collides with molar conductivity"
SYMMETRY_NUMBER,rotational symmetry number,statmech,"sigma","collides with collision cross-section"
HEAT_CAPACITY,heat capacity,thermo,"C, C_p, C_v","molar vs extensive decoration varies"
RATE_OF_REACTION,rate of reaction,kinetics,"v, r, rate","unique-rate convention is an F3/F4 case"
RATE_CONSTANT,rate constant,kinetics,"k","units shift with order; collides with Boltzmann and force constants"
REACTION_ORDER,reaction order,kinetics,"n, m, a, b","collides with moles and quantum number"
ACTIVATION_ENERGY,activation energy,kinetics,"E_a","distinct from the transition-state barrier height"
PREEXPONENTIAL,Arrhenius pre-exponential factor,kinetics,"A","collides with Helmholtz energy and absorbance"
COLLISION_CROSS_SECTION,collision cross-section,kinetics,"sigma","collides with symmetry number and standard deviation"
MEAN_SPEED,mean molecular speed,kinetics,"v-bar, <v>, c-bar","decoration convention varies"
MEAN_FREE_PATH,mean free path,kinetics,"lambda, ell","confusable with wavelength"
COLLISION_FREQUENCY,collision frequency,kinetics,"z, Z","collides with partition function symbols"
STOICH_COEFFICIENT,stoichiometric coefficient,kinetics,"nu","collides with frequency"
EXTENT_OF_REACTION,extent of reaction,kinetics,"xi","often omitted entirely in general chemistry"
TRANSMISSION_COEFF,transmission coefficient,kinetics,"kappa","collides with compressibility"
DENSITY,mass or number density,general,"rho, n","confusable with pressure and moles"
CONCENTRATION,concentration,general,"[A], c, C","bracket vs symbol convention varies by course"
MOMENTUM,momentum,general,"p, p-hat","confusable with pressure"
UNCERTAINTY_STDDEV,standard deviation,lab,"sigma, s","population vs sample distinction; collides with cross-section"
